date,transaction,debit,credit
Patreon,,,
"March 1, 2017",Income - Patreon Donations,156.00,0.00
"March 1, 2017",Expense - Processing Fees,0.00,6.89
"March 1, 2017",Expense -  Patreon Fees,0.00,7.80
Total Patreon,,156.00,14.69
Net Movement,,,141.31
,,,
Patreon Donations,,,
"March 1, 2017",Income - Patreon Donations,0.00,156.00
Total Patreon Donations,,0.00,156.00
Net Movement,,,156.00
,,,
Payment Fees,,,
"March 1, 2017",Expense - Processing Fees,6.89,0.00
Total Payment Fees,,6.89,0.00
Net Movement,,,6.89
,,,
Patreon Fees,,,
"March 1, 2017",Expense -  Patreon Fees,7.80,0.00
Total Patreon Fees,,7.80,0.00
Net Movement,,,7.80
,,,
